raw_scraped_text,scrape_date
"we're hiring a data scientist! location: nyc. salary: 130,000 usd. email resume to careers@dataco.io",2026-03-11
"Frontend Developer (React) needed in Austin, TX. Pay: $110K/year. Apply at https://company.com/careers",2026-03-11
DevOps Engineer with AWS experience. $140-160K. Hybrid in Boston. Call 555-123-4567,2026-03-11
REMOTE: Machine Learning Engineer. Salary $150k. 5+ years exp. Apply at https://apply.airecruiting.io/mlengineer,2026-03-11
"We're hiring a Data Scientist! Location: NYC. Salary: 130,000 USD. Email resume to careers@dataco.io",2026-03-11
backend engineer - java/spring - chicago il - 120k-140k + equity - jobs@bigtech.com,2026-03-11
"Entry Level Position: Junior Data Analyst. 65,000 - San Francisco, CA. Send CV to hr@startup.co",2026-03-11
"Senior Data Engineer @ FinanceCo. Salary: $175,000. New York, NY. Python/SQL required.",2026-03-11
DevOps Engineer with AWS experience. 140-160K. Hybrid in Boston. Call 555-123-4567,2026-03-11
Product Manager (Tech) - Series A Startup - $130K + options - careers@startup.io,2026-03-11
"Senior Data Engineer @ FinanceCo. Salary: $175,000. New York, NY. Python/SQL required.",2026-03-11
"Senior Data Engineer @ FinanceCo. Salary: $175,000. New York, NY. Python/SQL required.",2026-03-11
Product Manager (Tech) - Series A Startup - $130K + options - careers@startup.io,2026-03-11
Product Manager (Tech) - Series A Startup - $130K + options - careers@startup.io,2026-03-11
"frontend developer (react) needed in austin, tx. pay: $110k/year. apply at https://company.com/careers",2026-03-11
Product Manager (Tech) - Series A Startup - $130K + options - careers@startup.io,2026-03-11
Product Manager (Tech) - Series A Startup - 130K + options - careers@startup.io,2026-03-11
"Frontend Developer (React) needed in Austin, TX. Pay: $110K/year. Apply at https://company.com/careers",2026-03-11
REMOTE: Machine Learning Engineer. Salary $150k. 5+ years exp. Apply at https://apply.airecruiting.io/mlengineer,2026-03-11
"we're hiring a data scientist! location: nyc. salary: 130,000 usd. email resume to careers@dataco.io",2026-03-11
Backend Engineer - Java/Spring - Chicago IL - 120k-140k + equity - jobs@bigtech.com,2026-03-11
Job: Senior Python Developer at TechCorp - Salary $120k - $150k - Remote - Contact: hiring@techcorp.com,2026-03-11
"Frontend Developer (React) needed in Austin, TX. Pay: $110K/year. Apply at https://company.com/careers",2026-03-11
backend engineer - java/spring - chicago il - 120k-140k + equity - jobs@bigtech.com,2026-03-11
"Senior Data Engineer @ FinanceCo. Salary: $175,000. New York, NY. Python/SQL required.",2026-03-11
